X;Y;Z
0.00425985090521832;-0.0724174653887114;-0.191693290734824
0.00745473908413206;-0.0777422790202343;-0.191693290734824
0.00958466453674121;-0.0830670926517572;-0.189563365282215
0.00745473908413206;-0.0851970181043663;-0.187433439829606
0.00319488817891374;-0.0862619808306709;-0.186368477103301
-0.00425985090521832;-0.0862619808306709;-0.184238551650692
-0.0138445154419595;-0.0926517571884984;-0.184238551650692
-0.0255591054313099;-0.0969116080937167;-0.185303514376997
-0.0351437699680511;-0.0947816826411076;-0.184238551650692
-0.0425985090521832;-0.0926517571884984;-0.184238551650692
-0.0479233226837061;-0.0873269435569755;-0.183173588924388
-0.0489882854100107;-0.080937167199148;-0.181043663471779
-0.0511182108626198;-0.0777422790202343;-0.183173588924388
-0.0564430244941427;-0.0788072417465389;-0.187433439829606
-0.0628328008519702;-0.0798722044728434;-0.192758253461129
-0.0702875399361022;-0.0788072417465389;-0.193823216187433
-0.0756123535676251;-0.0745473908413206;-0.191693290734824
-0.0777422790202343;-0.0692225772097977;-0.188498402555911
-0.073482428115016;-0.0660276890308839;-0.189563365282215
-0.0702875399361022;-0.060702875399361;-0.188498402555911
-0.0692225772097977;-0.0564430244941427;-0.184238551650692
-0.0692225772097977;-0.0511182108626198;-0.181043663471779
-0.0681576144834931;-0.0511182108626198;-0.182108626198083
-0.0670926517571885;-0.0585729499467519;-0.187433439829606
-0.060702875399361;-0.0660276890308839;-0.192758253461129
-0.0468583599574015;-0.0681576144834931;-0.188498402555911
-0.0255591054313099;-0.0670926517571885;-0.174653887113951
-0.00958466453674121;-0.0638977635782748;-0.160809371671991
0.00638977635782748;-0.0575079872204473;-0.153354632587859
0.0255591054313099;-0.0575079872204473;-0.150159744408946
0.0479233226837061;-0.0617678381256656;-0.153354632587859
0.0745473908413206;-0.0660276890308839;-0.155484558040469
0.0969116080937167;-0.0660276890308839;-0.156549520766773
0.108626198083067;-0.0660276890308839;-0.15122470713525
0.111821086261981;-0.0670926517571885;-0.135250266240682
0.104366347177849;-0.0670926517571885;-0.115015974440895
0.093716719914803;-0.0660276890308839;-0.0990415335463259
0.0798722044728434;-0.0649627263045793;-0.0820021299254526
0.0702875399361022;-0.0660276890308839;-0.0575079872204473
0.0660276890308839;-0.0617678381256656;-0.0276890308839191
0.0692225772097977;-0.0500532481363152;-0.00106496272630458
0.0798722044728434;-0.0415335463258786;0.0276890308839191
0.0905218317358892;-0.033013844515442;0.0511182108626198
0.104366347177849;-0.0266240681576145;0.0670926517571885
0.118210862619808;-0.0234291799787007;0.080937167199148
0.124600638977636;-0.020234291799787;0.0915867944621938
0.123535676251331;-0.0244941427050053;0.101171458998935
0.119275825346113;-0.0266240681576145;0.105431309904153
0.103301384451544;-0.0244941427050053;0.10223642172524
0.0905218317358892;-0.0351437699680511;0.10010649627263
0.0777422790202343;-0.0394036208732694;0.0905218317358892
0.073482428115016;-0.0415335463258786;0.0851970181043663
0.0713525026624068;-0.0500532481363152;0.0777422790202343
0.0681576144834931;-0.0638977635782748;0.060702875399361
0.0298189563365282;-0.177848775292865;0.145899893503727
-0.248136315228967;-0.446219382321619;0.182108626198083
-0.619808306709265;-0.300319488817891;-0.142705005324814
-0.711395101171459;-0.226837060702875;-0.275825346112886
-0.710330138445154;-0.314164004259851;-0.325878594249201
-0.726304579339723;-0.350372736954207;-0.376996805111821
-0.682641107561235;-0.336528221512247;-0.378061767838126
-0.589989350372737;-0.308839190628328;-0.321618743343983
-0.476038338658147;-0.256656017039404;-0.249201277955272
-0.350372736954207;-0.199148029818956;-0.178913738019169
-0.233226837060703;-0.155484558040469;-0.137380191693291
-0.134185303514377;-0.128860489882854;-0.128860489882854
-0.0425985090521832;-0.121405750798722;-0.12566560170394
0.0383386581469649;-0.115015974440895;-0.118210862619808
0.104366347177849;-0.103301384451544;-0.0990415335463259
0.161874334398296;-0.0926517571884984;-0.0628328008519702
0.204472843450479;-0.0713525026624068;-0.0191693290734824
0.237486687965921;-0.0553780617678381;0.0255591054313099
0.254526091586794;-0.0447284345047923;0.0724174653887114
0.263045793397231;-0.0149094781682641;0.0947816826411076
0.26517571884984;-0.00106496272630458;0.109691160809372
0.271565495207668;-0.00638977635782748;0.118210862619808
0.31629392971246;-0.033013844515442;0.149094781682641
0.381256656017039;-0.033013844515442;0.193823216187433
0.407880724174654;-0.0053248136315229;0.211927582534611
0.402555910543131;-0.0053248136315229;0.215122470713525
0.382321618743344;-0.00851970181043664;0.203407880724175
0.356762513312034;-0.0244941427050053;0.192758253461129
0.324813631522897;-0.0511182108626198;0.192758253461129
0.285410010649627;-0.0670926517571885;0.170394036208733
0.249201277955272;-0.073482428115016;0.123535676251331
0.19062832800852;-0.106496272630458;0.0894568690095847
0.108626198083067;-0.124600638977636;0.0894568690095847
0.040468583599574;-0.124600638977636;0.126730564430245
-0.0212992545260916;-0.119275825346113;0.135250266240682
-0.0638977635782748;-0.142705005324814;0.135250266240682
-0.101171458998935;-0.158679446219382;0.119275825346113
-0.138445154419595;-0.161874334398296;0.108626198083067
-0.187433439829606;-0.155484558040469;0.0883919062832801
-0.269435569755059;-0.140575079872204;0.053248136315229
-0.361022364217252;-0.155484558040469;0.0255591054313099
-0.443024494142705;-0.184238551650692;-0.00638977635782748
-0.478168264110756;-0.212992545260916;-0.0298189563365282
-0.456869009584665;-0.24174653887114;-0.0340788072417465
-0.415335463258786;-0.228966986155485;-0.033013844515442
-0.354632587859425;-0.198083067092652;-0.020234291799787
-0.293929712460064;-0.164004259850905;-0.0053248136315229
-0.246006389776358;-0.135250266240682;0.00212992545260916
-0.21405750798722;-0.101171458998935;0.00425985090521832
-0.192758253461129;-0.0820021299254526;-0.00638977635782748
-0.184238551650692;-0.0713525026624068;-0.0308839190628328
-0.193823216187433;-0.0628328008519702;-0.0628328008519702
-0.210862619808307;-0.053248136315229;-0.0947816826411076
-0.22790202342918;-0.0681576144834931;-0.124600638977636
-0.250266240681576;-0.073482428115016;-0.156549520766773
-0.2790202342918;-0.0851970181043663;-0.182108626198083
-0.289669861554846;-0.112886048988285;-0.193823216187433
-0.281150159744409;-0.144834930777423;-0.195953141640043
-0.270500532481363;-0.169329073482428;-0.199148029818956
-0.252396166134185;-0.184238551650692;-0.206602768903088
-0.204472843450479;-0.19062832800852;-0.207667731629393
-0.129925452609159;-0.200212992545261;-0.197018104366347
-0.0447284345047923;-0.195953141640043;-0.187433439829606
0.0340788072417465;-0.183173588924388;-0.175718849840256
0.0820021299254526;-0.148029818956337;-0.164004259850905
0.132055378061768;-0.118210862619808;-0.148029818956337
