Latitude,Longitude,Altitude
47.2877016,11.4026747,801.241
47.2877048,11.402676,801.989
47.2877048,11.4026777,802.383
47.2877008,11.4026797,802.071
47.2892819,11.4034435,1080.586
47.2899563,11.4037878,1207.839
47.2903274,11.4039858,1276.735
47.2905607,11.4041178,1320.316
47.2907209,11.4042141,1351.553
47.2908393,11.4042863,1374.407
47.2909306,11.4043442,1392.164
47.2910024,11.4043914,1406.565
47.2910609,11.4044303,1417.858
47.2911097,11.404462,1427.446
47.2911524,11.4044888,1435.426
47.2911869,11.4045123,1442.379
47.2912161,11.4045331,1448.425
47.2912422,11.4045511,1453.74
47.291265,11.404567,1458.429
47.2912853,11.4045821,1462.209
47.2913033,11.4045955,1465.753
47.2913192,11.4046083,1468.771
47.2913326,11.4046215,1471.736
47.2913453,11.4046335,1474.553
47.2913562,11.4046441,1476.906
47.2913661,11.4046548,1478.575
47.2913743,11.4046651,1480.526
47.2913817,11.4046745,1481.841
47.2913898,11.4046835,1484.243
47.2913967,11.4046922,1485.965
47.2914028,11.4047005,1487.665
47.291407,11.4047086,1489.525
47.2914121,11.4047159,1491.084
47.2914169,11.4047229,1492.609
47.2914217,11.4047289,1493.998
47.2914264,11.4047342,1494.833
47.2914313,11.4047391,1495.966
47.291437,11.4047433,1496.696
47.2914415,11.4047476,1497.758
47.2914456,11.4047517,1498.591
47.2914482,11.4047573,1499.743
47.2914513,11.4047634,1500.882
47.2914554,11.4047674,1501.341
47.2914606,11.4047696,1502.105
47.2914659,11.4047715,1502.728
47.2914703,11.4047749,1503.873
47.2914738,11.4047799,1504.438
47.2914775,11.4047857,1504.968
47.2914822,11.4047893,1505.953
47.2914839,11.4047912,1507.335
47.2914707,11.4047873,1491.448
47.2914648,11.4047858,1491.97
47.2914585,11.4047865,1491.512
47.2914521,11.4047854,1490.643
47.2914463,11.4047814,1489.557
47.2914403,11.4047768,1488.317
47.2914341,11.404773,1486.997
47.2914274,11.4047691,1485.546
47.2914206,11.4047637,1484.165
47.2914135,11.4047594,1482.635
47.2914058,11.4047536,1480.998
47.2913978,11.4047487,1479.31
47.2913902,11.4047446,1477.741
47.2913813,11.4047404,1476.126
47.2913742,11.4047365,1474.563
47.2913668,11.4047325,1472.899
47.2913619,11.40473,1471.864
47.291355,11.4047282,1470.829
47.2913468,11.4047263,1469.755
47.291341,11.4047254,1468.719
47.2913343,11.4047246,1467.616
47.2913271,11.4047247,1466.399
47.2913206,11.4047214,1465.065
47.2913081,11.4047193,1463.135
47.291295,11.4047192,1461.242
47.2912817,11.4047185,1459.293
47.2912688,11.4047176,1457.401
47.2912563,11.4047145,1455.513
47.291244,11.4047132,1453.73
47.2912376,11.4047102,1452.419
47.291231,11.4047077,1451.167
47.2912242,11.4047044,1449.855
47.2912168,11.4047021,1448.448
47.2912102,11.4047006,1447.116
47.2912004,11.4046989,1445.481
47.2911902,11.404696,1443.733
47.2911805,11.4046921,1441.874
47.2911713,11.4046878,1439.935
47.2911607,11.4046823,1437.713
47.2911493,11.404677,1435.454
47.2911391,11.4046728,1433.169
47.2911314,11.4046665,1430.965
47.2911237,11.4046594,1428.787
47.2911132,11.4046527,1426.389
47.291101,11.4046441,1423.743
47.2910946,11.4046341,1421.234
47.2910862,11.404627,1418.934
47.2910745,11.4046217,1416.935
47.2910638,11.4046149,1414.874
47.2910517,11.4046097,1412.781
47.2910414,11.4046048,1410.874
47.2910311,11.4046001,1408.915
47.2910213,11.4045971,1407.069
47.2910122,11.4045931,1405.23
47.2910028,11.4045895,1403.443
47.2909941,11.4045842,1401.641
47.2909822,11.404581,1399.814
47.2909734,11.4045767,1398.168
47.2909665,11.4045693,1396.604
47.2909613,11.404562,1395.137
47.2909568,11.4045552,1393.915
47.2909517,11.4045506,1392.661
47.2909468,11.4045464,1391.441
47.2909417,11.4045409,1390.146
47.2909361,11.404536,1388.854
47.2909297,11.4045334,1387.6
47.2909222,11.4045287,1386.145
47.2909139,11.4045249,1384.712
47.2909068,11.4045205,1383.291
47.2909009,11.4045168,1381.975
47.2908948,11.4045133,1380.673
47.2908877,11.4045107,1379.399
47.2908802,11.4045083,1378.121
47.2908731,11.4045052,1376.837
47.2908663,11.4045008,1375.512
47.2908576,11.4044959,1374.187
47.2908488,11.4044907,1372.857
47.2908424,11.4044844,1371.491
47.2908348,11.4044802,1370.144
47.2908269,11.4044763,1368.768
47.2908183,11.4044722,1367.302
47.29081,11.404466,1365.792
47.2908023,11.4044606,1364.339
47.290793,11.4044566,1362.827
47.2907835,11.4044531,1361.224
47.290775,11.4044486,1359.711
47.290767,11.404444,1358.242
47.290759,11.404439,1356.752
47.2907509,11.4044347,1355.282
47.2907429,11.4044301,1353.818
47.2907352,11.4044254,1352.379
47.2907275,11.4044204,1350.902
47.2907197,11.4044154,1349.437
47.2907127,11.4044092,1347.972
47.2907075,11.4044028,1346.559
47.2907004,11.4043969,1345.097
47.2906924,11.4043923,1343.677
47.2906859,11.4043902,1342.429
47.2906795,11.404387,1341.165
47.2906738,11.4043835,1339.939
47.2906675,11.4043802,1338.739
47.290662,11.4043756,1337.553
47.2906571,11.4043709,1336.361
47.2906526,11.4043657,1335.125
47.2906465,11.4043616,1333.91
47.2906399,11.4043563,1332.632
47.290633,11.404351,1331.353
47.2906258,11.4043464,1330.073
47.2906201,11.4043414,1328.885
47.2906138,11.4043375,1327.697
47.290608,11.4043335,1326.531
47.2906023,11.4043305,1325.386
47.2905969,11.4043267,1324.207
47.2905918,11.4043214,1323.023
47.2905863,11.4043145,1321.813
47.2905809,11.4043078,1320.568
47.290577,11.4043013,1319.357
47.2905717,11.4042962,1318.25
47.2905663,11.4042915,1317.148
47.2905609,11.4042861,1316.009
47.2905538,11.4042833,1314.884
47.2905477,11.404279,1313.784
47.2905438,11.4042744,1312.661
47.2905337,11.4042683,1310.58
47.2905234,11.4042621,1308.536
47.2905147,11.404257,1306.84
47.2905053,11.4042525,1305.145
47.2904954,11.404248,1303.454
47.2904873,11.404244,1301.866
47.2904793,11.4042386,1300.332
47.2904721,11.4042327,1298.869
47.290465,11.4042275,1297.427
47.2904573,11.4042227,1295.911
47.2904504,11.4042182,1294.564
47.2904442,11.4042166,1293.597
47.2904382,11.404215,1292.67
47.2904346,11.4042121,1291.808
47.2904317,11.4042085,1290.882
47.290426,11.4042038,1289.57
47.2904205,11.404198,1288.215
47.2904169,11.4041958,1287.37
47.2904127,11.4041942,1286.472
47.2904102,11.4041892,1285.681
47.2904058,11.4041877,1284.848
47.2904001,11.4041857,1283.995
47.2903947,11.4041823,1283.131
47.2903889,11.4041783,1282.222
47.2903832,11.4041747,1281.268
47.2903768,11.4041721,1280.279
47.2903709,11.4041698,1279.289
47.2903648,11.4041663,1278.343
47.2903587,11.4041629,1277.348
47.2903517,11.40416,1276.238
47.2903441,11.4041535,1274.581
47.2903375,11.4041458,1272.982
47.2903296,11.404139,1271.475
47.2903212,11.4041373,1270.382
47.2903147,11.404134,1269.329
47.2903087,11.4041305,1268.327
47.2903024,11.4041275,1267.341
47.2902962,11.4041248,1266.395
47.2902898,11.4041217,1265.452
47.2902842,11.4041171,1264.491
